Constant,Stock Change,Inventory Turnover,Operating Profit,Interaction Effect,Current Ratio,Quick Ratio,Debt Asset Ratio
1,0.870331743,1.795945544,0.115845738,0.208052637,1.672526874,0.255170549,0.473316976
1,-0.047346911,1.395501018,0.436966986,0.609787873,1.637260738,0.221763203,0.48996701
1,0.001175962,1.664563316,0.541015808,0.900555068,1.640619118,0.18914135,0.374268595
1,-0.901200331,1.605738471,0.539398809,0.86613342,1.436221302,0.131944095,0.224399429
1,-0.176352953,1.591451163,0.539937933,0.859284852,1.43314033,0.183094811,0.213446009
1,0.239054107,6.248651187,0.216795828,1.354681506,1.226462858,0.353588609,0.295926121
1,-0.54931806,6.205749719,0.225337036,1.398385248,1.336821985,0.477674479,0.326508767
1,-0.002050387,5.535695949,0.190855252,1.056516643,1.348663733,0.450082005,0.277358995
1,0.16147115,6.624193601,0.193791772,1.283714216,1.413914624,0.55789966,0.257379843
1,-0.285459423,6.281940326,0.183015331,1.14969139,1.467631419,0.582584515,0.234954356
1,-0.531308961,6.264380669,0.199682058,1.250884427,1.367978827,0.473981463,0.23587115
1,0.315756892,5.794029403,0.317467445,1.839415711,1.193329432,0.404915155,0.366983014
1,0.10715164,6.078847308,0.270935961,1.646978335,1.362057448,0.504008016,0.383896067
1,-0.006772648,6.055074599,0.337861372,2.045775814,1.379836427,0.510066059,0.365874992
1,0.138137646,6.844465833,0.352725046,2.414214525,1.245481691,0.42291372,0.323094265
1,0.032093519,5.977949113,0.382323734,2.285511826,1.264939728,0.428827905,0.280486337
1,0.171139376,5.806174287,0.413575214,2.401289773,1.328937905,0.396787341,0.293550778
1,-0.060171086,5.531038375,0.538101604,2.976260623,1.226299107,0.360484103,0.322718978
1,-0.350750713,6.026493676,0.81535649,4.913740731,1.332605676,0.41913078,0.413851425
1,-0.101034729,6.111409096,0.864864865,5.285543002,1.205900987,0.388270432,0.396686786
1,0.073820391,6.538256659,0.611999016,4.001406645,1.23048573,0.426573427,0.371494038
1,0.25761732,17.70709079,0.011004871,0.19486425,0.952132142,0.673858082,0.184212495
1,-0.612672649,78.4359673,-0.213499481,-16.74603829,0.781775972,0.689108145,0.188738624
1,-0.209816593,49.12040558,0.472870396,23.22758566,0.634174444,0.497637977,0.173313248
1,0.625242392,66.66547406,-0.399828031,-26.65472523,1.048299192,0.884984026,0.31549341
1,0.015868844,6.154661477,0.307262225,1.891094979,2.303245944,1.569161421,0
1,0.065978171,5.370566504,0.265683548,1.426871161,3.175838244,2.242377301,0
1,-0.181202236,7.56086451,0.223405003,1.689134961,2.222885448,1.521185237,0
1,0.198622014,7.647326613,0.271561383,2.076718591,1.939722453,1.332063438,0
1,-0.25335637,7.284833769,0.432342949,3.149546512,1.560067029,0.901904754,0
1,0.097877423,12.88117267,-0.916239556,-11.80223993,3.13421425,2.929481035,0
1,-0.153238512,54.48904006,0.115084436,6.270840419,1.233422987,1.1230052,0
1,0.123260719,32.35594059,0.137028116,4.433673574,1.145830742,0.984326409,0
1,-0.057691196,13.16852227,0.132186167,1.74069649,1.410724926,1.105759682,0
1,0.096552112,6.347356637,0.128673433,0.816736167,1.329449591,0.447903734,0.370770102
1,-0.03277921,6.264605544,0.176925527,1.108368635,1.04002769,0.276121834,0.209324753
1,0.268682517,5.719228458,4.701281367,26.88770218,1.029548061,0.106331727,0
1,0.595905727,8.966162643,1.64838792,14.77971419,1.627221409,1.037050865,0
1,-0.320448458,5.764589205,0.672777383,3.878285242,1.964014441,1.065902356,0
1,-0.392303169,6.121170728,0.479732782,2.936526264,2.84274838,2.039376744,0
1,0.290542283,5.280088809,0.473249186,2.498797733,2.419552387,1.774376993,0
1,-0.37751119,2.463677309,0.218114789,0.537364455,2.324031804,1.390959871,0.068651773
1,-0.064852515,2.612965881,0.248490143,0.649296265,2.370531245,1.440461004,0.136771663
1,-1.13688234,2.627557528,0.213552708,0.561122026,2.204924977,1.388208033,0.137143301
1,0.171496535,2.758308633,0.12489104,0.344488035,2.344238683,1.521615226,0.13476557
1,0.415674506,12.71969697,0.460152838,5.853004665,0.295254237,0.250508475,0
1,-0.414463999,5.52,-0.373585973,-2.06219457,0.627438836,0.464849799,0
1,0.074524396,14.97755623,-0.700437793,-10.49084643,3.117099737,2.622341774,0.377775932
1,-0.248620084,57.55774843,0.346620699,19.95070698,1.040160893,0.796205605,0.317984465
1,-0.757509259,31.84482219,0.419272104,13.35164562,1.011067183,0.707984149,0.355874233
1,-0.271873808,57.97157463,0.466501408,27.04382116,0.824984411,0.592706423,0.42748192
1,0.513461702,57.89516364,0.514439875,29.78358077,0.656073592,0.406264444,0.466490923
1,0.736435489,50.64687724,0.480149182,24.31805669,0.811934168,0.72272336,0.385155207
1,-0.013543554,33.49393848,0.475713465,15.93351751,1.078360852,0.941740439,0.351214669
1,0.805603998,103.5204082,0.245517418,25.41606333,1.765947467,1.571294559,0
1,-0.100963719,129.7301205,0.209716652,27.20656659,1.366843886,1.171822136,0
1,0.301397707,74.69256757,0.178379025,13.32358741,1.007532611,0.66856513,0
1,-0.224984856,83.58452381,0.157211863,13.14047866,0.78652053,0.57304106,0
